workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.items	Answer.dimensions	Answer.desTypes	Answer.qualities	Answer.speakerGenders	Answer.genders	Answer.bins0	Answer.bins1	Answer.bins2	Answer.bins3	Answer.bins4	Answer.bins5	Answer.bins6	Answer.bins7	Answer.bins8	Answer.bins9	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9
29	M	35	4	english	1,2,3,4,5,6	elephant,bird,cheetah,hamster,turtle,giraffe	weight,weight,speed,height,speed,height	fig,fig,lit,lit,fig,lit	heavy,light,fast,short,slow,tall	man,woman,man,man,woman,man	woman,man,man,woman,woman,man	0,0,0,0,0,0	10,10,1,0.5,1,0.5	100,100,5,4,5,4	120,120,10,4.5,10,4.5	140,140,12,5,12,5	160,160,14,5.5,14,5.5	180,180,16,6,16,6	200,200,18,6.5,18,6.5	220,220,20,7,20,7	10000,10000,60,15,60,15	0.91,0.09,0.37,0.62,0.2,0.09	0.05,0.13,0.28,0.24,0.53,0.22	0.54,0.15,0.24,0.47,0.22,0.15	0.18,0.09,0.21,0.43,0.47,0.1	0.76,0.1,0.44,0.22,0.14,0.46	0.4,0.19,0.32,0.26,0.37,0.07	0.24,0.1,0.14,0.44,0.19,0.24	0.74,0.14,0.43,0.14,0.1,0.15	0.21,0.17,0.23,0.51,0.23,0.24	0.21,0.08,0.36,0.13,0.45,0.15
30	F	35	6	English	1,2,3,4,5,6	elephant,giraffe,hamster,cheetah,bird,turtle	weight,height,height,speed,weight,speed	fig,lit,lit,lit,fig,fig	heavy,tall,short,fast,light,slow	man,woman,man,woman,man,woman	woman,man,man,man,woman,woman	0,0,0,0,0,0	10,0.5,0.5,1,10,1	100,4,4,5,100,5	120,4.5,4.5,10,120,10	140,5,5,12,140,12	160,5.5,5.5,14,160,14	180,6,6,16,180,16	200,6.5,6.5,18,200,18	220,7,7,20,220,20	10000,15,15,60,10000,60	0.01,0.01,0,0,0.01,0.29	0.01,0.01,0.01,0.1,0.11,0.37	0.02,0.02,0.09,0.48,0.71,0.06	0.11,0.01,0.11,0.49,0.25,0.02	0.52,0.01,0.32,0.19,0.12,0	0.67,0.53,0.42,0.11,0.02,0.01	0.82,0.72,0.06,0.09,0.02,0.01	0.62,0.47,0.05,0.09,0.02,0.02	0.43,0.11,0.02,0.02,0.01,0.02	0,0.01,0.02,0.02,0,0.02
31	M	35	0	english	1,2,3,4,5,6	bird,elephant,cheetah,turtle,giraffe,hamster	weight,weight,speed,speed,height,height	lit,fig,fig,lit,lit,fig	light,heavy,fast,slow,tall,short	man,woman,woman,man,woman,woman	man,woman,woman,man,man,woman	0,0,0,0,0,0	10,10,1,1,0.5,0.5	100,100,5,5,4,4	120,120,10,10,4.5,4.5	140,140,12,12,5,5	160,160,14,14,5.5,5.5	180,180,16,16,6,6	200,200,18,18,6.5,6.5	220,220,20,20,7,7	10000,10000,60,60,15,15	0.58,0.7,0.47,0.49,0.83,0.61	0.65,0.51,0.38,0.42,0.6,0.49	0.93,0.36,0.38,0.67,0.58,0.47	0.54,0.36,0.29,0.81,0.63,0.51	0.5,0.39,0.32,0.62,0.6,0.52	0.66,0.36,0.29,0.58,0.61,0.59	0.49,0.35,0.32,0.54,0.61,0.46	0.52,0.35,0.37,0.68,0.6,0.47	0.56,0.35,0.4,0.74,0.67,0.65	0.58,0.44,0.42,0.58,0.62,0.48
32	M	65	4	English	1,2,3,4,5,6	turtle,bird,giraffe,elephant,hamster,cheetah	speed,weight,height,weight,height,speed	fig,lit,fig,fig,lit,lit	slow,light,tall,heavy,short,fast	woman,woman,man,woman,woman,man	man,man,woman,woman,man,woman	0,0,0,0,0,0	1,10,0.5,10,0.5,1	5,100,4,100,4,5	10,120,4.5,120,4.5,10	12,140,5,140,5,12	14,160,5.5,160,5.5,14	16,180,6,180,6,16	18,200,6.5,200,6.5,18	20,220,7,220,7,20	60,10000,15,10000,15,60	0.97,0.03,0.03,0.01,0.04,0.95	0.96,0.02,0.02,0.04,0.03,0.96	0.02,0.02,0.03,0.02,0.03,0.97	0.01,0.34,0,0.03,0.02,0.98	0.02,0.91,0.02,0.02,0.94,0.97	0.03,0.71,0.52,0.17,0.41,0.98	0.02,0.03,0.98,0.6,0.02,1	0.03,0.02,0.35,0.8,0.02,0.97	0.01,0.02,0.02,0.95,0.03,0.98	0.02,0.03,0.03,0.01,0,0.12
33	F	45	11	English	1,2,3,4,5,6	giraffe,cheetah,turtle,hamster,elephant,bird	height,speed,speed,height,weight,weight	lit,lit,fig,fig,fig,lit	tall,fast,slow,short,heavy,light	woman,man,woman,man,woman,woman	woman,man,man,woman,man,woman	0,0,0,0,0,0	0.5,1,1,0.5,10,10	4,5,5,4,100,100	4.5,10,10,4.5,120,120	5,12,12,5,140,140	5.5,14,14,5.5,160,160	6,16,16,6,180,180	6.5,18,18,6.5,200,200	7,20,20,7,220,220	15,60,60,15,10000,10000	0.05,0.2,0.87,0.04,0.02,0.01	0.06,0.23,0.8,0.04,0.02,0.02	0.11,0.65,0.23,0.45,0.01,0.8	0.06,0.74,0.07,0.65,0.01,0.69	0.12,0.4,0.01,0.25,0.01,0.14	0.32,0.22,0.02,0.07,0.01,0.01	0.44,0.02,0.02,0.04,0.14,0	0.3,0.04,0.03,0.03,0.16,0	0.16,0.03,0.02,0.03,0.92,0	0.02,0.03,0.03,0.03,0.01,0
34	M	35	6	English	1,2,3,4,5,6	hamster,elephant,giraffe,cheetah,turtle,bird	height,weight,height,speed,speed,weight	fig,fig,fig,lit,lit,lit	short,heavy,tall,fast,slow,light	man,man,man,woman,man,woman	woman,man,woman,woman,man,man	0,0,0,0,0,0	0.5,10,0.5,1,1,10	4,100,4,5,5,100	4.5,120,4.5,10,10,120	5,140,5,12,12,140	5.5,160,5.5,14,14,160	6,180,6,16,16,180	6.5,200,6.5,18,18,200	7,220,7,20,20,220	15,10000,15,60,60,10000	0.71,0.27,0.63,0.24,0.18,0.15	0.25,0.49,0.3,0.56,0.25,0.06	0.47,0.45,0.28,0.61,0.56,0.07	0.51,0.67,0.65,0.48,0.46,0.32	0.55,0.37,0.75,0.3,0.65,0.39	0.22,0.7,0.37,0.59,0.71,0.31	0.19,0.52,0.21,0.78,0.7,0.18	0.74,0.28,0.18,0.92,0.79,0.17	0.61,0.14,0.67,0.96,0.8,0.36	0.23,0.43,0.43,0.23,0.8,0.38
35	F	35	6	ENGLISH	1,2,3,4,5,6	elephant,cheetah,bird,turtle,giraffe,hamster	weight,speed,weight,speed,height,height	fig,lit,fig,lit,lit,fig	heavy,fast,light,slow,tall,short	man,woman,man,woman,man,man	man,woman,woman,woman,man,man	0,0,0,0,0,0	10,1,10,1,0.5,0.5	100,5,100,5,4,4	120,10,120,10,4.5,4.5	140,12,140,12,5,5	160,14,160,14,5.5,5.5	180,16,180,16,6,6	200,18,200,18,6.5,6.5	220,20,220,20,7,7	10000,60,10000,60,15,15	0.03,0.02,0.01,0.04,0.02,0.01	0.03,0.02,0.02,0.15,0.01,0.02	0.02,0.01,0.13,0.21,0.02,0.03	0.05,0.19,0.12,0.03,0.03,0.12	0.01,0.22,0.14,0.01,0.01,0.12	0.03,0.19,0.03,0.02,0.01,0.09	0.02,0.18,0.02,0.02,0.15,0.01	0.03,0.03,0.03,0.03,0.13,0.02	0.89,0.03,0.03,0.02,0.1,0.02	0.01,0.04,0.01,0.02,0.02,0.02
36	M	35	6	English	1,2,3,4,5,6	elephant,bird,hamster,cheetah,turtle,giraffe	weight,weight,height,speed,speed,height	fig,lit,fig,lit,fig,lit	heavy,light,short,fast,slow,tall	man,woman,man,woman,man,woman	woman,man,man,man,woman,woman	0,0,0,0,0,0	10,10,0.5,1,1,0.5	100,100,4,5,5,4	120,120,4.5,10,10,4.5	140,140,5,12,12,5	160,160,5.5,14,14,5.5	180,180,6,16,16,6	200,200,6.5,18,18,6.5	220,220,7,20,20,7	10000,10000,15,60,60,15	0.62,0.75,0.13,0.17,0.5,0.4	0.49,0.35,0.85,0.79,0.85,0.83	0.79,0.69,0.22,0.63,0.26,0.53	0.3,0.37,0.89,0.95,0.6,0.27	0.53,0.8,0.24,0.28,0.2,0.79	0.9,0.24,0.66,0.65,0.8,0.46	0.86,0.05,0.42,0.16,0.52,0.82	0.19,0.78,0.81,0.87,0.21,0.14	0.71,0.49,0.09,0.51,0.77,0.64	0.3,0.2,0.79,0.91,0.33,0.87
37	F	35	0	English	1,2,3,4,5,6	elephant,giraffe,hamster,cheetah,bird,turtle	weight,height,height,speed,weight,speed	lit,lit,lit,fig,fig,fig	heavy,tall,short,fast,light,slow	man,man,woman,woman,man,woman	man,man,man,woman,woman,woman	0,0,0,0,0,0	10,0.5,0.5,1,10,1	100,4,4,5,100,5	120,4.5,4.5,10,120,10	140,5,5,12,140,12	160,5.5,5.5,14,160,14	180,6,6,16,180,16	200,6.5,6.5,18,200,18	220,7,7,20,220,20	10000,15,15,60,10000,60	0.56,0.28,0.29,0.44,0.39,0.32	0.37,0.62,0.61,0.58,0.58,0.21	0.56,0.41,0.61,0.4,0.38,0.29	0.58,0.57,0.44,0.31,0.27,0.25	0.69,0.6,0.38,0.35,0.3,0.34	0.61,0.81,0.17,0.4,0.48,0.71	0.45,0.6,0.23,0.53,0.47,0.17	0.43,0.47,0.29,0.45,0.33,0.74	0.66,0.59,0.37,0.38,0.26,0.28	0.7,0.45,0.2,0.43,0.21,0.62
38	F	35	4	english	1,2,3,4,5,6	cheetah,hamster,giraffe,turtle,elephant,bird	speed,height,height,speed,weight,weight	lit,fig,fig,lit,lit,fig	fast,short,tall,slow,heavy,light	woman,woman,woman,man,woman,man	woman,woman,woman,man,man,man	0,0,0,0,0,0	1,0.5,0.5,1,10,10	5,4,4,5,100,100	10,4.5,4.5,10,120,120	12,5,5,12,140,140	14,5.5,5.5,14,160,160	16,6,6,16,180,180	18,6.5,6.5,18,200,200	20,7,7,20,220,220	60,15,15,60,10000,10000	1,0.02,0.01,1,0.02,0.04	0.98,0.02,0.02,0.98,0.02,0.32	0.99,0.02,0.03,0.15,0.38,0.31	0.1,0.52,0.03,0,0.52,0.22	0.02,0.68,0.47,0,0.67,0.21	0.01,0.01,0.61,0.03,0.69,0.15	0.01,0.01,0.04,0.02,0.77,0.1	0.02,0.02,0.01,0.03,0.84,0	0.03,0.01,0.01,0.03,0.96,0	0.03,0.01,0.01,0.01,0,0
39	M	35	4	English	1,2,3,4,5,6	bird,giraffe,elephant,cheetah,hamster,turtle	weight,height,weight,speed,height,speed	lit,lit,fig,fig,lit,fig	light,tall,heavy,fast,short,slow	woman,man,woman,man,woman,man	man,man,man,woman,woman,woman	0,0,0,0,0,0	10,0.5,10,1,0.5,1	100,4,100,5,4,5	120,4.5,120,10,4.5,10	140,5,140,12,5,12	160,5.5,160,14,5.5,14	180,6,180,16,6,16	200,6.5,200,18,6.5,18	220,7,220,20,7,20	10000,15,10000,60,15,60	0,0,0,1,0,1	0.11,0,0,1,0.02,1	0.67,0,0,1,0.13,0.64	0.38,0,0,1,0.85,0.28	0.19,0,0,1,0.51,0.08	0,0.11,0,1,0,0	0,0.72,0,0.99,0,0	0,0.43,0.67,0.9,0,0	0,0.05,0.78,0.67,0,0	0,0,0,0,0,0
40	M	45	4	English	1,2,3,4,5,6	turtle,hamster,cheetah,giraffe,bird,elephant	speed,height,speed,height,weight,weight	fig,fig,fig,lit,lit,lit	slow,short,fast,tall,light,heavy	man,woman,woman,woman,man,woman	woman,woman,man,man,woman,man	0,0,0,0,0,0	1,0.5,1,0.5,10,10	5,4,5,4,100,100	10,4.5,10,4.5,120,120	12,5,12,5,140,140	14,5.5,14,5.5,160,160	16,6,16,6,180,180	18,6.5,18,6.5,200,200	20,7,20,7,220,220	60,15,60,15,10000,10000	1,0,0,0.01,0.02,0.01	0.57,0.2,0.17,0.01,0.63,0	0.35,0.35,0.48,0.01,0.85,0	0.23,0.85,0.75,0.02,0.26,0	0,0.76,0.49,0.01,0.06,0.21	0.01,0.39,0.29,0.4,0,0.41	0.01,0.01,0.11,0.82,0,0.63	0.02,0.02,0,0.68,0,0.82	0,0,0,0.09,0.02,0.7	0.02,0.01,0,0,0,0
